"The U․S․ has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.","824615820391305216",""
"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!","824573698774601729","2017-01-26 11:04:24"
"I will be making my Supreme Court pick on Thursday of next week.Thank you!","824229586091307008","2017-01-25 12:17:01"
"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!","824227824903090176",""
"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!","824083821889015809","2017-01-25 02:37:48"
"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!","824080766288228352","2017-01-25 02:25:40"
"Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!","823850781946343427","2017-01-24 11:11:47"
"Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A․M․ to talk manufacturing in America.","823495059010109440","2017-01-23 11:38:16"
"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.","823174199036542980","2017-01-22 14:23:17"
"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!","823151124815507460","2017-01-22 12:51:36"
"Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.","823150055418920960","2017-01-22 12:47:21"
"We will follow two simple rules: BUY AMERICAN & HIRE AMERICAN! #InaugurationDay #MAGA🇺🇸","822502887477673984","2017-01-20 17:55:44"
"We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!","822502601304526848","2017-01-20 17:54:36"
"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸","822502450007515137","2017-01-20 17:54:00"
"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.","822502270503972872","2017-01-20 17:53:17"
"What truly matters is not which party controls our government, but whether our government is controlled by the people.","822502135233384448","2017-01-20 17:52:45"
"Today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring power from Washington, D․C․ and giving it back to you, the American People. #InaugurationDay","822501803615014918",""
"It all begins today! I will see you at 11:00 A․M․ for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!","822421390125043713","2017-01-20 12:31:53"
"Great Concert at 4:00 P․M․ today at Lincoln Memorial. Enjoy!","822176438627536897","2017-01-19 20:18:32"
"Getting ready to leave for Washington, D․C․. The journey begins and I will be working and fighting very hard to make it a great journey for the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!","822066132307808256",""
"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.","822064153426857984","2017-01-19 12:52:22"
"Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!","821844875268255744","2017-01-18 22:21:02"
"Thank you to General Motors and Walmart for starting the big jobs push back into the U․S․!","821415698278875137","2017-01-17 17:55:38"
"John Lewis said about my inauguration, ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he ""thought it would be hypocritical to attend Bush's swearing-in…he doesn't believe Bush is the true elected president."" Sound familiar! WP","821368088935432196",""
"With all of the jobs I am bringing back into the U․S․ (even before taking office), with all of the new auto plants coming back into our country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff.""","821364027506966532",""
"The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.","821344302651555840","2017-01-17 13:11:56"
"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!","821342600322043905","2017-01-17 13:05:10"
"Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!","820992721120854016","2017-01-16 13:54:52"
